flow,throughput,time
c1 -> s1,1.9057076676179396,10.305898904800415
c2 -> s2,0.953349527340667,10.305898904800415
c3 -> s3,2.857533403210921,10.305898904800415
c1 -> s1,1.9057048380924628,31.710227966308594
c2 -> s2,3.804287060853895,31.710227966308594
c3 -> s3,2.8541853792266556,31.710227966308594
c1 -> s1,4.544348353423636,53.03778529167175
c2 -> s2,2.6948640963951247,53.03778529167175
c3 -> s3,2.2816857306383165,53.03778529167175
c1 -> s1,2.8587590550780733,74.38594603538513
c2 -> s2,0.9556729387026555,74.38594603538513
c3 -> s3,5.714766643473602,74.38594603538513
c1 -> s1,1.905690570552606,10.300039768218994
c2 -> s2,0.953396680839185,10.300039768218994
c3 -> s3,2.857451144256403,10.300039768218994
c1 -> s1,1.9056983091492221,31.711954832077026
c2 -> s2,3.80443331118691,31.711954832077026
c3 -> s3,2.8529114960528665,31.711954832077026
c1 -> s1,4.514329236296647,53.0528039932251
c2 -> s2,2.66904065858413,53.0528039932251
c3 -> s3,2.3365905768771977,53.0528039932251
c1 -> s1,2.858158442289828,74.4198408126831
c2 -> s2,0.95664988124381,74.4198408126831
c3 -> s3,5.71260673002693,74.4198408126831
c1 -> s1,1.905695360720582,10.298589706420898
c2 -> s2,0.953407715431298,10.298589706420898
c3 -> s3,2.8574213620096165,10.298589706420898
c1 -> s1,1.905710389035419,31.711150884628296
c2 -> s2,3.803530034381181,31.711150884628296
c3 -> s3,2.85157229656704,31.711150884628296
c1 -> s1,4.473874948766076,53.05827355384827
c2 -> s2,2.714089773801067,53.05827355384827
c3 -> s3,2.3344755448370713,53.05827355384827
c1 -> s1,2.8579864796305876,74.40278649330139
c2 -> s2,0.9547877296363989,74.40278649330139
c3 -> s3,5.714926176344859,74.40278649330139
c1 -> s1,1.9057151912420571,10.302091360092163
c2 -> s2,0.9530228817144248,10.302091360092163
c3 -> s3,2.8561102546535055,10.302091360092163
c1 -> s1,1.905674196195996,31.678656578063965
c2 -> s2,3.8046195369339704,31.678656578063965
c3 -> s3,2.853549994734852,31.678656578063965
c1 -> s1,4.4258199573945864,53.001819133758545
c2 -> s2,2.7884970540138667,53.001819133758545
c3 -> s3,2.307606633284116,53.001819133758545
c1 -> s1,2.8579921546356846,74.36605596542358
c2 -> s2,0.9542647605572583,74.36605596542358
c3 -> s3,5.714548080868909,74.36605596542358
c1 -> s1,1.9051477739211595,10.300104141235352
c2 -> s2,0.9537223559056515,10.300104141235352
c3 -> s3,2.8565511436578417,10.300104141235352
c1 -> s1,1.9057359633348454,31.723772525787354
c2 -> s2,3.8037648594248874,31.723772525787354
c3 -> s3,2.852884603267639,31.723772525787354
c1 -> s1,4.481072180273074,53.07164669036865
c2 -> s2,2.7342991742438714,53.07164669036865
c3 -> s3,2.308430930457111,53.07164669036865
c1 -> s1,2.857977967165198,74.43957185745239
c2 -> s2,0.954205239675321,74.43957185745239
c3 -> s3,5.71386979171633,74.43957185745239
c1 -> s1,1.9057417219540063,10.310961246490479
c2 -> s2,0.9534195048076625,10.310961246490479
c3 -> s3,2.8574967825925603,10.310961246490479
c1 -> s1,1.9057048380924628,31.71127414703369
c2 -> s2,3.8071676338722473,31.71127414703369
c3 -> s3,2.8567215161357873,31.71127414703369
c1 -> s1,4.478969671410895,53.034770488739014
c2 -> s2,2.8185312635608417,53.034770488739014
c3 -> s3,2.2257021822169145,53.034770488739014
c1 -> s1,2.8581309155226116,74.39901065826416
c2 -> s2,0.955490745075319,74.39901065826416
c3 -> s3,5.71648223076401,74.39901065826416
c1 -> s1,1.9057116289677234,10.305115938186646
c2 -> s2,0.9533853635741426,10.305115938186646
c3 -> s3,2.857421360639387,10.305115938186646
c1 -> s1,1.9049515421888719,31.724158763885498
c2 -> s2,3.8039763525262056,31.724158763885498
c3 -> s3,2.8543976147803085,31.724158763885498
c1 -> s1,4.323884213408554,53.0681209564209
c2 -> s2,3.0013370445896532,53.0681209564209
c3 -> s3,2.1949243260320572,53.0681209564209
c1 -> s1,2.85800293720746,74.41619729995728
c2 -> s2,0.95479595878261,74.41619729995728
c3 -> s3,5.712626585166493,74.41619729995728
c1 -> s1,1.9056963050217701,10.29835319519043
c2 -> s2,0.9533954547891614,10.29835319519043
c3 -> s3,2.857425900216653,10.29835319519043
c1 -> s1,1.9056948405030707,31.709455490112305
