flow,throughput,time
c1 -> s1,1.90570766761794,10
c2 -> s2,0.953349527340667,10
c3 -> s3,2.857533403210921,10
c1 -> s1,1.9057048380924628,31
c2 -> s2,3.804287060853895,31
c3 -> s3,2.854185379226656,31
c1 -> s1,4.544348353423636,53
c2 -> s2,2.6948640963951247,53
c3 -> s3,2.2816857306383165,53
c1 -> s1,2.8587590550780733,74
c2 -> s2,0.9556729387026556,74
c3 -> s3,5.714766643473602,74
c1 -> s1,1.905690570552606,10
c2 -> s2,0.953396680839185,10
c3 -> s3,2.857451144256403,10
c1 -> s1,1.905698309149222,31
c2 -> s2,3.80443331118691,31
c3 -> s3,2.8529114960528665,31
c1 -> s1,4.514329236296647,53
c2 -> s2,2.66904065858413,53
c3 -> s3,2.3365905768771977,53
c1 -> s1,2.858158442289828,74
c2 -> s2,0.95664988124381,74
c3 -> s3,5.71260673002693,74
c1 -> s1,1.905695360720582,10
c2 -> s2,0.953407715431298,10
c3 -> s3,2.8574213620096165,10
c1 -> s1,1.905710389035419,31
c2 -> s2,3.803530034381181,31
c3 -> s3,2.85157229656704,31
c1 -> s1,4.473874948766076,53
c2 -> s2,2.714089773801067,53
c3 -> s3,2.3344755448370718,53
c1 -> s1,2.857986479630588,74
c2 -> s2,0.9547877296363988,74
c3 -> s3,5.714926176344859,74
c1 -> s1,1.905715191242057,10
c2 -> s2,0.9530228817144248,10
c3 -> s3,2.856110254653505,10
c1 -> s1,1.905674196195996,31
c2 -> s2,3.8046195369339695,31
c3 -> s3,2.853549994734852,31
c1 -> s1,4.425819957394586,53
c2 -> s2,2.7884970540138667,53
c3 -> s3,2.307606633284116,53
c1 -> s1,2.857992154635685,74
c2 -> s2,0.9542647605572584,74
c3 -> s3,5.714548080868909,74
c1 -> s1,1.9051477739211595,10
c2 -> s2,0.9537223559056516,10
c3 -> s3,2.8565511436578417,10
c1 -> s1,1.9057359633348452,31
c2 -> s2,3.803764859424888,31
c3 -> s3,2.852884603267639,31
c1 -> s1,4.481072180273074,53
c2 -> s2,2.734299174243872,53
c3 -> s3,2.308430930457111,53
c1 -> s1,2.857977967165198,74
c2 -> s2,0.954205239675321,74
c3 -> s3,5.71386979171633,74
c1 -> s1,1.9057417219540065,10
c2 -> s2,0.9534195048076624,10
c3 -> s3,2.8574967825925603,10
c1 -> s1,1.9057048380924628,31
c2 -> s2,3.8071676338722473,31
c3 -> s3,2.8567215161357877,31
c1 -> s1,4.478969671410895,53
c2 -> s2,2.8185312635608417,53
c3 -> s3,2.2257021822169145,53
c1 -> s1,2.858130915522612,74
c2 -> s2,0.955490745075319,74
c3 -> s3,5.71648223076401,74
c1 -> s1,1.9057116289677236,10
c2 -> s2,0.9533853635741426,10
c3 -> s3,2.857421360639387,10
c1 -> s1,1.904951542188872,31
c2 -> s2,3.8039763525262056,31
c3 -> s3,2.8543976147803085,31
c1 -> s1,4.323884213408554,53
c2 -> s2,3.001337044589653,53
c3 -> s3,2.194924326032057,53
c1 -> s1,2.85800293720746,74
c2 -> s2,0.95479595878261,74
c3 -> s3,5.712626585166493,74
c1 -> s1,1.90569630502177,10
c2 -> s2,0.9533954547891614,10
c3 -> s3,2.857425900216653,10
c1 -> s1,1.9056948405030707,31
c2 -> s2,3.802401477801944,31
c3 -> s3,2.852021177671022,31
c1 -> s1,4.361324068491397,53
c2 -> s2,2.9886982881112134,53
c3 -> s3,2.171673113160568,53
c1 -> s1,2.8568266979771044,74
c2 -> s2,0.9551376408182884,74
c3 -> s3,5.714921634360574,74
c1 -> s1,1.9057123835124063,10
c2 -> s2,0.9533964922158992,10
c3 -> s3,2.856874046509117,10
c1 -> s1,1.9057089587479792,31
c2 -> s2,3.80437400779534,31
c3 -> s3,2.854584081041853,31
c1 -> s1,4.290748276608218,53
c2 -> s2,3.049565690933252,53
c3 -> s3,2.1792998639009777,53
c1 -> s1,2.857993005888394,74
c2 -> s2,0.9547937832474046,74
c3 -> s3,5.7148353380308805,74
c1 -> s1,1.905732756444711,10
c2 -> s2,0.9534084699426524,10
c3 -> s3,2.857480927124024,10
c1 -> s1,1.906852428030281,31
c2 -> s2,3.802924432466463,31
c3 -> s3,2.856387593859324,31
c1 -> s1,4.534023184424667,53
c2 -> s2,2.6949286657992624,53
c3 -> s3,2.292569848823076,53
c1 -> s1,2.8579620773654786,74
c2 -> s2,0.9539350326863628,74
c3 -> s3,5.715283312459676,74
