flow,bandwidth,throughput
c3 -> s3,5,4.9945881749921
c3 -> s3,6,6.000047167929072
c3 -> s3,7,6.978334488981251
c3 -> s3,8,7.975807413830728
c3 -> s3,9,8.9622345748822
c3 -> s3,10,9.517256048901995
c1 -> s1,1,1.0268818836338252
c1 -> s1,2,2.0713774069189266
c1 -> s1,3,3.0109772357446727
c1 -> s1,4,4.031116229063195
c1 -> s1,5,4.994936801375624
c1 -> s1,6,5.99912430569276
c1 -> s1,7,6.978342826783237
c1 -> s1,8,7.975819319188927
c1 -> s1,9,8.962074843478677
c1 -> s1,10,9.522407910128319
c2 -> s2,1,1.0272962795541758
c2 -> s2,2,2.0713642072554252
c2 -> s2,3,3.0109745375832757
c2 -> s2,4,4.031567275711306
c2 -> s2,5,4.99464735350218
c2 -> s2,6,6.003156277311882
c2 -> s2,7,6.978356723164157
c2 -> s2,8,7.975772491651718
c2 -> s2,9,8.958493536869081
c2 -> s2,10,9.52219419144922
c3 -> s3,1,1.0272978138390316
c3 -> s3,2,2.0713178035237236
c3 -> s3,3,3.01099282521632
c3 -> s3,4,4.032215271567098
c3 -> s3,5,4.99464238046417
c3 -> s3,6,6.002027124630757
c3 -> s3,7,6.978276819729674
c3 -> s3,8,7.975747093895426
c3 -> s3,9,8.961987395178037
c3 -> s3,10,9.51952459264748
c1 -> s1,1,1.0269021202266284
c1 -> s1,2,2.0713419332047316
c1 -> s1,3,3.0110117126770803
c1 -> s1,4,4.032303943084306
c1 -> s1,5,4.9947120038975195
c1 -> s1,6,6.001152542710267
c1 -> s1,7,6.978383821266136
c1 -> s1,8,7.975835193055145
c1 -> s1,9,8.962039150088616
c1 -> s1,10,9.517905363401555
c2 -> s2,1,1.0273279890392517
c2 -> s2,2,2.0713446143151026
c2 -> s2,3,3.010955350797242
c2 -> s2,4,4.0321519169016335
c2 -> s2,5,4.99461353703899
c2 -> s2,6,6.00007642435899
c2 -> s2,7,6.978440102611937
c2 -> s2,8,7.975818525497274
c2 -> s2,9,8.962081089851171
c2 -> s2,10,9.51770185488569
c3 -> s3,1,1.026891899625524
c3 -> s3,2,2.0713382209095226
c3 -> s3,3,3.010955350797242
c3 -> s3,4,4.032775050835961
c3 -> s3,5,4.994633429020704
c3 -> s3,6,5.99919237733198
c3 -> s3,7,6.978364366197253
c3 -> s3,8,7.978059718008465
c3 -> s3,9,8.962070381789369
c3 -> s3,10,9.515559327179835
c1 -> s1,1,1.0273131569396574
c1 -> s1,2,2.0705271972990316
c1 -> s1,3,3.0110201071801455
c1 -> s1,4,4.0282033899384295
c1 -> s1,5,4.994727420777392
c1 -> s1,6,6.001323659396887
c1 -> s1,7,6.9783852109180655
c1 -> s1,8,7.975839955227333
c1 -> s1,9,8.9620052416314
c1 -> s1,10,9.51775525270874
c2 -> s2,1,1.027302621294591
c2 -> s2,2,2.071340902010283
c2 -> s2,3,3.01095984767828
c2 -> s2,4,4.032297523295999
c2 -> s2,5,4.994637904738426
c2 -> s2,6,5.9985355277853545
c2 -> s2,7,6.978421342062466
c2 -> s2,8,7.978114498050408
c2 -> s2,9,8.962127491747983
c2 -> s2,10,9.514452705855577
c3 -> s3,1,1.027289937892058
c3 -> s3,2,2.0713343023901265
c3 -> s3,3,3.0109703404529364
c3 -> s3,4,4.030847641513376
c3 -> s3,5,4.992704147321603
c3 -> s3,6,6.000102098603966
c3 -> s3,7,6.97830044316326
