flow,bandwidth,throughput
c2 -> s2,7,1.113633745
c3 -> s3,7,6.953525907
c1 -> s1,8,0.674342747
c2 -> s2,8,0.834299281
c3 -> s3,8,7.938579927
c1 -> s1,9,0.482192303
c2 -> s2,9,0.484603374
c3 -> s3,9,8.536269046
c1 -> s1,10,0.483149627
c2 -> s2,10,0.485294873
c3 -> s3,10,8.536050514
c1 -> s1,1,0.917450228
c2 -> s2,1,1.006235873
c3 -> s3,1,1.039591023
c1 -> s1,2,0.882197753
c2 -> s2,2,1.981432801
c3 -> s3,2,2.077487336
c1 -> s1,3,0.862582032
c2 -> s2,3,2.073829168
c3 -> s3,3,3.082884816
c1 -> s1,4,0.831131783
c2 -> s2,4,1.865069298
c3 -> s3,4,3.998399385
c1 -> s1,5,0.812593073
c2 -> s2,5,1.595809891
c3 -> s3,5,4.989920156
c1 -> s1,6,0.760692335
c2 -> s2,6,1.356919358
c3 -> s3,6,6.007001094
c1 -> s1,7,0.75550815
c2 -> s2,7,1.100378175
c3 -> s3,7,6.96319603
c1 -> s1,8,0.68727421
c2 -> s2,8,0.841576645
c3 -> s3,8,7.938037768
c1 -> s1,9,0.482290985
c2 -> s2,9,0.484320576
c3 -> s3,9,8.533556875
c1 -> s1,10,0.483133734
c2 -> s2,10,0.483524809
c3 -> s3,10,8.536519721
c1 -> s1,1,0.917414793
c2 -> s2,1,1.039556187
c3 -> s3,1,1.039544644
c1 -> s1,2,0.877572141
c2 -> s2,2,1.983823395
c3 -> s3,2,2.079097533
c1 -> s1,3,0.846747284
c2 -> s2,3,2.086985866
c3 -> s3,3,3.10216014
c1 -> s1,4,0.829883793
c2 -> s2,4,1.862480325
c3 -> s3,4,4.00488552
c1 -> s1,5,0.800431736
c2 -> s2,5,1.609361334
c3 -> s3,5,4.992253284
c1 -> s1,6,0.774834603
c2 -> s2,6,1.35743546
c3 -> s3,6,6.012218358
c1 -> s1,7,0.744082016
c2 -> s2,7,1.133734892
c3 -> s3,7,6.963888679
c1 -> s1,8,0.685835544
c2 -> s2,8,0.845342927
c3 -> s3,8,7.931992853
c1 -> s1,9,0.482196355
c2 -> s2,9,0.484557788
c3 -> s3,9,8.536390568
c1 -> s1,10,0.492323312
c2 -> s2,10,0.484238547
c3 -> s3,10,8.538501762
c1 -> s1,1,0.917409245
c2 -> s2,1,1.039544644
c3 -> s3,1,1.039552683
c1 -> s1,2,0.877624675
c2 -> s2,2,2.002799318
c3 -> s3,2,2.079078982
c1 -> s1,3,0.84365819
c2 -> s2,3,2.082717202
c3 -> s3,3,3.10461457
c1 -> s1,4,0.822076822
c2 -> s2,4,1.878395302
c3 -> s3,4,3.998680823
c1 -> s1,5,0.795310836
c2 -> s2,5,1.610991301
c3 -> s3,5,4.985884653
c1 -> s1,6,0.772559586
c2 -> s2,6,1.345262688
c3 -> s3,6,6.007088924
c1 -> s1,7,0.738970694
c2 -> s2,7,1.105356342
c3 -> s3,7,6.964136477
c1 -> s1,8,0.697462489
c2 -> s2,8,0.836654835
c3 -> s3,8,7.938467102
c1 -> s1,9,0.482226135
c2 -> s2,9,0.484200727
c3 -> s3,9,8.533863948
c1 -> s1,10,0.481995249
c2 -> s2,10,0.482757609
c3 -> s3,10,8.535504093
