flow,bandwidth,throughput,priority
c2 -> s2,10,3.110575909687528,50000
c3 -> s3,10,3.185384158826084,60000
c1 -> s1,1,1.006202554384874,40000
c2 -> s2,1,1.0061867934573019,50000
c3 -> s3,1,1.0062021553679574,60000
c1 -> s1,2,2.045749538457756,40000
c2 -> s2,2,2.032343547019364,50000
c3 -> s3,2,2.045759273568409,60000
c1 -> s1,3,2.959509678796144,40000
c2 -> s2,3,2.99340172140184,50000
c3 -> s3,3,2.9953565917652463,60000
c1 -> s1,4,3.1918803497080996,40000
c2 -> s2,4,3.10959641454164,50000
c3 -> s3,4,3.189779993191866,60000
c1 -> s1,5,3.186205860136597,40000
c2 -> s2,5,3.096726024526146,50000
c3 -> s3,5,3.195049789193716,60000
c1 -> s1,6,3.1951205430547063,40000
c2 -> s2,6,3.1860998664554265,50000
c3 -> s3,6,3.1012241984579627,60000
c1 -> s1,7,3.19614556199676,40000
c2 -> s2,7,3.0980608199623325,50000
c3 -> s3,7,3.187018807617985,60000
c1 -> s1,8,3.0978359252859375,40000
c2 -> s2,8,3.19180947859799,50000
c3 -> s3,8,3.1883468834688347,60000
c1 -> s1,9,3.161035035540565,40000
c2 -> s2,9,3.1152845348075444,50000
c3 -> s3,9,3.2045318196684427,60000
c1 -> s1,10,3.1860162320630994,40000
c2 -> s2,10,3.096731535312947,50000
c3 -> s3,10,3.1906905027570636,60000
c1 -> s1,1,1.0001491939878568,40000
c2 -> s2,1,1.0062179167767957,50000
c3 -> s3,1,1.006265603033061,60000
c1 -> s1,2,2.0466857497654285,40000
c2 -> s2,2,2.038810555781924,50000
c3 -> s3,2,2.0400098307361567,60000
c1 -> s1,3,2.978777949944034,40000
c2 -> s2,3,2.9807103147345586,50000
c3 -> s3,3,2.9852692002071533,60000
c1 -> s1,4,3.1059493490674974,40000
c2 -> s2,4,3.1896589493109255,50000
c3 -> s3,4,3.1952399473012245,60000
c1 -> s1,5,3.1962561921272834,40000
c2 -> s2,5,3.0977789408120393,50000
c3 -> s3,5,3.1916371317080157,60000
c1 -> s1,6,3.1950200987747372,40000
c2 -> s2,6,3.1876656806934416,50000
c3 -> s3,6,3.1011493921071502,60000
c1 -> s1,7,3.1025025956822168,40000
c2 -> s2,7,3.187264033661284,50000
c3 -> s3,7,3.196363668730696,60000
c1 -> s1,8,3.192120760252948,40000
c2 -> s2,8,3.0964652030512356,50000
c3 -> s3,8,3.19485460059276,60000
c1 -> s1,9,3.1070533588445044,40000
c2 -> s2,9,3.1964338485311345,50000
c3 -> s3,9,3.1925563040612364,60000
c1 -> s1,10,3.2108431053322266,40000
c2 -> s2,10,3.0996746459134608,50000
c3 -> s3,10,3.189480667802514,60000
c1 -> s1,1,1.0003646873801213,40000
c2 -> s2,1,1.0061738259757513,50000
c3 -> s3,1,1.0061897860005116,60000
c1 -> s1,2,2.0457702256786443,40000
c2 -> s2,2,2.0457775271506153,50000
c3 -> s3,2,2.04576332989186,60000
c1 -> s1,3,2.96407124329279,40000
c2 -> s2,3,2.992450774256247,50000
c3 -> s3,3,2.999405541962075,60000
c1 -> s1,4,3.1950064007341297,40000
c2 -> s2,4,3.111125262613092,50000
c3 -> s3,4,3.1873274400796214,60000
c1 -> s1,5,3.105898990042792,40000
c2 -> s2,5,3.192846266160493,50000
c3 -> s3,5,3.195272800828731,60000
c1 -> s1,6,3.1861092757346254,40000
c2 -> s2,6,3.1015774312890656,50000
c3 -> s3,6,3.1954971073850666,60000
c1 -> s1,7,3.1012671217641037,40000
c2 -> s2,7,3.195231102236172,50000
c3 -> s3,7,3.1905517110609733,60000
c1 -> s1,8,3.1056355529826685,40000
c2 -> s2,8,3.1889182326334056,50000
c3 -> s3,8,3.193547172956834,60000
c1 -> s1,9,3.101594604380352,40000
c2 -> s2,9,3.194648149127884,50000
c3 -> s3,9,3.1936224046270563,60000
c1 -> s1,10,3.1700163006468847,40000
c2 -> s2,10,3.2080173330707114,50000
c3 -> s3,10,3.1150301374673455,60000
c1 -> s1,1,1.0061997612731044,40000
c2 -> s2,1,1.0062015568431764,50000
c3 -> s3,1,1.006187591467084,60000
c1 -> s1,2,2.0387630169739364,40000
c2 -> s2,2,2.045721956147386,50000
c3 -> s3,2,2.038805318346953,60000
c1 -> s1,3,2.9793103884635808,40000
c2 -> s2,3,2.9861286095154935,50000
c3 -> s3,3,2.981614990835375,60000
c1 -> s1,4,3.096351337031185,40000
c2 -> s2,4,3.1947295408216827,50000
c3 -> s3,4,3.1856131111682684,60000
c1 -> s1,5,3.186057410500278,40000
c2 -> s2,5,3.1876763884173798,50000
c3 -> s3,5,3.1060371742007513,60000
c1 -> s1,6,3.1016908998792525,40000
c2 -> s2,6,3.195547027775905,50000
c3 -> s3,6,3.1892339942174277,60000
c1 -> s1,7,3.1967976016780035,40000
c2 -> s2,7,3.111413858277933,50000
c3 -> s3,7,3.1965702768121935,60000
c1 -> s1,8,3.187149295956285,40000
c2 -> s2,8,3.1023988860054437,50000
c3 -> s3,8,3.1962233183744746,60000
c1 -> s1,9,3.1873831930991154,40000
c2 -> s2,9,3.097785680801784,50000
c3 -> s3,9,3.196252398967448,60000
c1 -> s1,10,3.1954743593698467,40000
c2 -> s2,10,3.0969593316616173,50000
c3 -> s3,10,3.1863677863571476,60000
c1 -> s1,1,1.0062137269870224,40000
c2 -> s2,1,1.0026828106877739,50000
c3 -> s3,1,1.0027850485535887,60000
c1 -> s1,2,2.0462769903990723,40000
c2 -> s2,2,2.0460574562066274,50000
c3 -> s3,2,2.046693869778163,60000
c1 -> s1,3,2.971765690785558,40000
c2 -> s2,3,3.014490322940476,50000
c3 -> s3,3,2.96494328406176,60000
c1 -> s1,4,3.1891165561796164,40000
c2 -> s2,4,3.184445895911376,50000
c3 -> s3,4,3.095222924649342,60000
c1 -> s1,5,3.1883125761720903,40000
c2 -> s2,5,3.195307550487254,50000
c3 -> s3,5,3.1059493490674974,60000
c1 -> s1,6,3.19596414516056,40000
c2 -> s2,6,3.1021098855631486,50000
c3 -> s3,6,3.1920488399141616,60000
c1 -> s1,7,3.1893594260321025,40000
c2 -> s2,7,3.190904564773526,50000
c3 -> s3,7,3.106974079908349,60000
c1 -> s1,8,3.19562917864969,40000
c2 -> s2,8,3.106310507968325,50000
c3 -> s3,8,3.189264120243365,60000
c1 -> s1,9,3.1955874707551484,40000
c2 -> s2,9,3.1946413938076743,50000
c3 -> s3,9,3.1061901123360873,60000
c1 -> s1,10,3.1906409614875786,40000
c2 -> s2,10,3.1112224807589044,50000
c3 -> s3,10,3.188223380655736,60000
