flow,bandwidth,throughput,priority
c3 -> s3,10,6.544052001312076,60000
c1 -> s1,1,0.947614126395821,40000
c2 -> s2,1,1.0013303219884349,50000
c3 -> s3,1,1.0062294887583871,60000
c1 -> s1,2,0.9995328333636747,40000
c2 -> s2,2,2.045954806658297,50000
c3 -> s3,2,2.0372003059679953,60000
c1 -> s1,3,0.9789881546496202,40000
c2 -> s2,3,2.52115600273448,50000
c3 -> s3,3,3.0674810633838465,60000
c1 -> s1,4,0.9932555514124846,40000
c2 -> s2,4,2.01427667748592,50000
c3 -> s3,4,4.030157594538936,60000
c1 -> s1,5,1.0106162130523386,40000
c2 -> s2,5,2.0029431566075884,50000
c3 -> s3,5,4.939621632612653,60000
c1 -> s1,6,0.9956327676866601,40000
c2 -> s2,6,1.9932025361094232,50000
c3 -> s3,6,5.97731728223191,60000
c1 -> s1,7,0.940752726573337,40000
c2 -> s2,7,2.0030780530066874,50000
c3 -> s3,7,6.529932894413678,60000
c1 -> s1,8,0.9957292693887664,40000
c2 -> s2,8,1.9318329553669578,50000
c3 -> s3,8,6.568898283752275,60000
c1 -> s1,9,1.0068103655985763,40000
c2 -> s2,9,2.054874585358079,50000
c3 -> s3,9,6.429870516375592,60000
c1 -> s1,10,0.9784277286281571,40000
c2 -> s2,10,1.9624261807127816,50000
c3 -> s3,10,6.540981338625892,60000
c1 -> s1,1,1.0022970307667816,40000
c2 -> s2,1,1.006215323093298,50000
c3 -> s3,1,1.0028486605366944,60000
c1 -> s1,2,0.9820134459480555,40000
c2 -> s2,2,2.038839966493489,50000
c3 -> s3,2,2.0457458878151478,60000
c1 -> s1,3,1.0089967104905007,40000
c2 -> s2,3,2.52817877271895,50000
c3 -> s3,3,3.0800332301472735,60000
c1 -> s1,4,0.981757898296976,40000
c2 -> s2,4,2.00709334033519,50000
c3 -> s3,4,4.0150092447675405,60000
c1 -> s1,5,0.9669619713805377,40000
c2 -> s2,5,2.014821654839528,50000
c3 -> s3,5,4.95663760612175,60000
c1 -> s1,6,0.9771006842554093,40000
c2 -> s2,6,1.9637973347867212,50000
c3 -> s3,6,5.93885152538832,60000
c1 -> s1,7,0.988731985464996,40000
c2 -> s2,7,1.9409591801125075,50000
c3 -> s3,7,6.55642839305373,60000
c1 -> s1,8,1.0167568233719781,40000
c2 -> s2,8,1.9830601564958126,50000
c3 -> s3,8,6.472254616305458,60000
c1 -> s1,9,0.9512555157607298,40000
c2 -> s2,9,2.0079665003318388,50000
c3 -> s3,9,6.522646450636343,60000
c1 -> s1,10,1.0223133920233445,40000
c2 -> s2,10,1.9399068296547266,50000
c3 -> s3,10,6.5245428803762975,60000
c1 -> s1,1,0.983557255814982,40000
c2 -> s2,1,1.0061887884841305,50000
c3 -> s3,1,1.0024453268261577,60000
c1 -> s1,2,0.9700593074990737,40000
c2 -> s2,2,2.0458963862182746,50000
c3 -> s3,2,2.0458963862182746,60000
c1 -> s1,3,1.0047727573353225,40000
c2 -> s2,3,2.5094817644357867,50000
c3 -> s3,3,3.0823358124028752,60000
c1 -> s1,4,0.9705128433661919,40000
c2 -> s2,4,2.021780663975054,50000
c3 -> s3,4,4.043804928737858,60000
c1 -> s1,5,0.9986852598228334,40000
c2 -> s2,5,1.9546880700185256,50000
c3 -> s3,5,4.942323942687336,60000
c1 -> s1,6,0.9669089519493456,40000
c2 -> s2,6,2.041547600139013,50000
c3 -> s3,6,5.933127313177536,60000
c1 -> s1,7,0.9994430436627313,40000
c2 -> s2,7,1.9831100580573178,50000
c3 -> s3,7,6.499897630011366,60000
c1 -> s1,8,0.9741756005341821,40000
c2 -> s2,8,1.9325067125994226,50000
c3 -> s3,8,6.56921672962874,60000
c1 -> s1,9,0.9792461197339246,40000
c2 -> s2,9,2.0111883493561886,50000
c3 -> s3,9,6.49689355342895,60000
c1 -> s1,10,1.0239686828836134,40000
c2 -> s2,10,2.0374161045245622,50000
c3 -> s3,10,6.432820564672204,60000
c1 -> s1,1,0.9486997374372591,40000
c2 -> s2,1,1.0062151235797367,50000
c3 -> s3,1,1.0003800692325284,60000
c1 -> s1,2,1.008303563975551,40000
c2 -> s2,2,2.045758462305649,50000
c3 -> s3,2,2.0314608051245835,60000
c1 -> s1,3,0.973016299099117,40000
c2 -> s2,3,2.545432645065583,50000
c3 -> s3,3,3.06672960245016,60000
c1 -> s1,4,0.988736488975321,40000
c2 -> s2,4,2.004180846585761,50000
c3 -> s3,4,4.045200456670288,60000
c1 -> s1,5,1.0140182538527274,40000
c2 -> s2,5,2.0120240163446765,50000
c3 -> s3,5,4.95070355171371,60000
c1 -> s1,6,0.9541877627313967,40000
c2 -> s2,6,1.9879053001152678,50000
c3 -> s3,6,5.9522163972288205,60000
c1 -> s1,7,1.0140885463344687,40000
c2 -> s2,7,1.9936426326850059,50000
c3 -> s3,7,6.479221983536353,60000
c1 -> s1,8,0.9915478557429712,40000
c2 -> s2,8,1.9063518967116333,50000
c3 -> s3,8,6.585305369184443,60000
c1 -> s1,9,0.9836292578843662,40000
c2 -> s2,9,2.061427026307997,50000
c3 -> s3,9,6.43066982581663,60000
c1 -> s1,10,0.9648964242691845,40000
c2 -> s2,10,1.9458191507799647,50000
c3 -> s3,10,6.56687786949639,60000
