flow,time,mean_throughput,min_throughput,max_throughput
c1 -> s1,10,1.9056551359954963,1.9051477739211595,1.9057417219540065
c1 -> s1,31,1.9057436303370612,1.904951542188872,1.906852428030281
c1 -> s1,53,4.442839409049775,4.290748276608218,4.544348353423636
c1 -> s1,74,2.857978973276042,2.8568266979771044,2.8587590550780733
c2 -> s2,10,0.9533904446560744,0.9530228817144248,0.9537223559056516
c2 -> s2,31,3.8041478707243046,3.802401477801944,3.8071676338722473
c2 -> s2,53,2.815385171003228,2.66904065858413,3.049565690933252
c2 -> s2,74,0.9549733710425429,0.9539350326863628,0.95664988124381
c3 -> s3,10,2.857176632487003,2.856110254653505,2.857533403210921
c3 -> s3,31,2.853921575333735,2.85157229656704,2.856721516135788
c3 -> s3,53,2.2632958750227408,2.171673113160568,2.3365905768771977
c3 -> s3,74,5.714486652321226,5.71260673002693,5.71648223076401
