flow,bandwidth,throughput
c3 -> s3,6,5.9999444741477905
c3 -> s3,7,6.97832128750219
c3 -> s3,8,7.975889164672921
c3 -> s3,9,8.960822175613085
c3 -> s3,10,9.518131079889931
c1 -> s1,1,1.0273020075743546
c1 -> s1,2,2.071329146466141
c1 -> s1,3,3.0109583487164415
c1 -> s1,4,4.032426841130217
c1 -> s1,5,4.9946901220378805
c1 -> s1,6,5.999163715400865
c1 -> s1,7,6.978333794165319
c1 -> s1,8,7.97580820752017
c1 -> s1,9,8.962019518845269
c1 -> s1,10,9.519423205842
c2 -> s2,1,1.0273094745537095
c2 -> s2,2,2.0713646197423636
c2 -> s2,3,3.01097813513288
c2 -> s2,4,4.032854278088167
c2 -> s2,5,4.9946110505524155
c2 -> s2,6,6.003312754882304
c2 -> s2,7,6.978692337571778
c2 -> s2,8,7.975861385072546
c2 -> s2,9,8.962096259649183
c2 -> s2,10,9.51753397454242
c3 -> s3,1,1.027282880327884
c3 -> s3,2,2.071338633386111
c3 -> s3,3,3.009824062638315
c3 -> s3,4,4.03158853971521
c3 -> s3,5,4.994565796929329
c3 -> s3,6,6.000064482924563
c3 -> s3,7,6.978321982315632
c3 -> s3,8,7.9757645548355
c3 -> s3,9,8.961988287499016
c3 -> s3,10,9.520827750125314
c1 -> s1,1,1.0268937393187085
c1 -> s1,2,2.071306460705537
c1 -> s1,3,3.010994923811369
c1 -> s1,4,4.031541598722542
c1 -> s1,5,4.9945672887939425
c1 -> s1,6,6.00002507652819
c1 -> s1,7,6.9782858522001
c1 -> s1,8,7.9758145570413825
c1 -> s1,9,8.962081982190806
c1 -> s1,10,9.52250739009871
c2 -> s2,1,1.027302825868166
c2 -> s2,2,2.071350182797281
c2 -> s2,3,3.011034497865727
c2 -> s2,4,4.031529562746647
c2 -> s2,5,4.994607072179049
c2 -> s2,6,6.00124603847517
c2 -> s2,7,6.978409529916403
c2 -> s2,8,7.978141491391227
c2 -> s2,9,8.962056104413444
c2 -> s2,10,9.518979841956094
c3 -> s3,1,1.027291472157971
c3 -> s3,2,2.0713264653958126
c3 -> s3,3,3.0109670427158783
c3 -> s3,4,4.031640697655789
c3 -> s3,5,4.9939517216896
c3 -> s3,6,5.999154161484687
c3 -> s3,7,6.978416478232774
c3 -> s3,8,7.9757343950779385
c3 -> s3,9,8.962098936677695
c3 -> s3,10,9.52289882604727
c1 -> s1,1,1.0273059967689984
c1 -> s1,2,2.0713497703160932
c1 -> s1,3,3.010973638197218
c1 -> s1,4,4.032895605432616
c1 -> s1,5,4.99461552623003
c1 -> s1,6,6.000014926479625
c1 -> s1,7,6.978280293753993
