flow,bandwidth,throughput,priority
c1 -> s1,7,3.1956923745038024,40000
c2 -> s2,7,3.18604654825637,50000
c3 -> s3,7,3.1015381792230814,60000
c1 -> s1,8,3.1863230502306292,40000
c2 -> s2,8,3.192540739412976,50000
c3 -> s3,8,3.098995677670232,60000
c1 -> s1,9,3.1950131500329597,40000
c2 -> s2,9,3.1947363530851325,50000
c3 -> s3,9,3.10567914903713,60000
c1 -> s1,10,3.188093993214377,40000
c2 -> s2,10,3.1026222693101677,50000
c3 -> s3,10,3.195004937922554,60000
c1 -> s1,1,1.0020286651130812,40000
c2 -> s2,1,1.0062125299106388,50000
c3 -> s3,1,1.0020033400848487,60000
c1 -> s1,2,2.045826610620541,40000
c2 -> s2,2,2.046058267706542,50000
c3 -> s3,2,2.0458383747772744,60000
c1 -> s1,3,3.0234752443075976,40000
c2 -> s2,3,2.9624729630026674,50000
c3 -> s3,3,2.9670192160464715,60000
c1 -> s1,4,3.1953081823062237,40000
c2 -> s2,4,3.1906362463838067,50000
c3 -> s3,4,3.101337641203699,60000
c1 -> s1,5,3.195164765809162,40000
c2 -> s2,5,3.1859349228361538,50000
c3 -> s3,5,3.1085240990479455,60000
c1 -> s1,6,3.1060365600217352,40000
c2 -> s2,6,3.183032152220487,50000
c3 -> s3,6,3.1865122676250053,60000
c1 -> s1,7,3.1525964697234543,40000
c2 -> s2,7,3.205145911176276,50000
c3 -> s3,7,3.1251238136829547,60000
c1 -> s1,8,3.1721173560679907,40000
c2 -> s2,8,3.167597430676123,50000
c3 -> s3,8,3.144986496485606,60000
c1 -> s1,9,3.195713678900726,40000
c2 -> s2,9,3.1957004263870212,50000
c3 -> s3,9,3.102309296245559,60000
c1 -> s1,10,3.196002702416194,40000
c2 -> s2,10,3.102112339692655,50000
c3 -> s3,10,3.189675899646747,60000
