flow,bandwidth,throughput
c1 -> s1,10,0.9656529102223795
c2 -> s2,1,1.027296074983208
c2 -> s2,2,2.0713371897187702
c2 -> s2,3,2.1788886508117944
c2 -> s2,4,1.9872854637318893
c2 -> s2,5,1.97151278148526
c2 -> s2,6,1.9699836809389584
c2 -> s2,7,1.9749819330991696
c2 -> s2,8,1.96571597467083
c2 -> s2,9,1.9745978156746071
c2 -> s2,10,1.9677002227642946
c3 -> s3,1,1.027295768126909
c3 -> s3,2,2.071378644396005
c3 -> s3,3,3.0115229633202913
c3 -> s3,4,4.03097718879554
c3 -> s3,5,4.992710110337661
c3 -> s3,6,6.001420736603257
c3 -> s3,7,6.978461642626462
c3 -> s3,8,7.97268705482026
c3 -> s3,9,8.962510325731525
c3 -> s3,10,9.50232102483214
c1 -> s1,1,1.0273064059189185
c1 -> s1,2,1.0343998206913172
c1 -> s1,3,0.9630688719935959
c1 -> s1,4,0.9663878454483
c1 -> s1,5,0.9769337974167677
c1 -> s1,6,0.95962470053696
c1 -> s1,7,0.9584634800206102
c1 -> s1,8,0.9873068704120304
c1 -> s1,9,0.970014914430954
c1 -> s1,10,0.949241214948209
c2 -> s2,1,1.0268954768127683
c2 -> s2,2,2.071979407819435
c2 -> s2,3,2.175790273916238
c2 -> s2,4,1.9873191019481156
c2 -> s2,5,1.97342812053507
c2 -> s2,6,1.9634543169008405
c2 -> s2,7,1.9792499873796097
c2 -> s2,8,1.967662214885282
c2 -> s2,9,1.9700182031911047
c2 -> s2,10,1.9723132332087467
c3 -> s3,1,1.0272975069816939
c3 -> s3,2,2.0705410045354515
c3 -> s3,3,3.0110291013425137
c3 -> s3,4,4.029756955008953
c3 -> s3,5,4.99463740743606
c3 -> s3,6,5.999214471090804
c3 -> s3,7,6.978336573429882
c3 -> s3,8,7.975782809536414
c3 -> s3,9,8.961897271674314
c3 -> s3,10,9.523606893314334
c1 -> s1,1,1.0272911653044219
c1 -> s1,2,1.0322744062820137
c1 -> s1,3,0.9550170157689714
c1 -> s1,4,0.9676913360695067
c1 -> s1,5,0.968488125754877
c1 -> s1,6,0.9786842853699734
c1 -> s1,7,0.9573309691598024
c1 -> s1,8,0.9826883946888296
c1 -> s1,9,0.9596108462973905
c1 -> s1,10,0.9698279650966642
c2 -> s2,1,1.0272996549869085
c2 -> s2,2,2.0713635885253265
c2 -> s2,3,2.1780088537544056
c2 -> s2,4,1.9918153201046567
c2 -> s2,5,1.9654059472760266
c2 -> s2,6,1.964230048742448
c2 -> s2,7,1.9792588556704787
c2 -> s2,8,1.9712666076526393
c2 -> s2,9,1.97002134163766
c2 -> s2,10,1.9734475729507717
c3 -> s3,1,1.027294949844341
c3 -> s3,2,2.0713264653958126
c3 -> s3,3,3.0098033926996384
c3 -> s3,4,4.031170121389616
c3 -> s3,5,4.992640045798544
c3 -> s3,6,5.99998387948542
c3 -> s3,7,6.978387990223582
c3 -> s3,8,7.9781232311700965
c3 -> s3,9,8.962030226785524
c3 -> s3,10,9.52014677204504
c1 -> s1,1,1.0273071219320633
c1 -> s1,2,1.033433959235806
c1 -> s1,3,0.9649954312095219
c1 -> s1,4,0.9653946556939798
c1 -> s1,5,0.9607803915200169
c1 -> s1,6,0.9711727691253637
c1 -> s1,7,0.9757612530922966
c1 -> s1,8,0.9665477656144129
c1 -> s1,9,0.958469015077239
c1 -> s1,10,0.9723104973620013
c2 -> s2,1,1.0273017007145113
c2 -> s2,2,2.071343376878684
c2 -> s2,3,2.179027722472767
c2 -> s2,4,1.9873286000035648
c2 -> s2,5,1.9608048133552347
c2 -> s2,6,1.9826685605649517
c2 -> s2,7,1.9711470765085075
c2 -> s2,8,1.9676829818949466
c2 -> s2,9,1.9699742659892678
