flow,throughput,time
c1 -> s1,1.054945264940619,10.204349040985107
c2 -> s2,2.109895149794681,10.205425262451172
c3 -> s3,3.2024354099296675,10.235767126083374
c1 -> s1,4.084950383157423,31.463648080825806
c2 -> s2,2.1178413385309014,31.47566294670105
c3 -> s3,3.192878463201336,31.475972175598145
c1 -> s1,3.205805656259997,52.72332453727722
c2 -> s2,3.2057808444435363,52.723554372787476
c3 -> s3,3.1095491517608282,52.723798990249634
c1 -> s1,3.2071998701545588,73.95929431915283
c2 -> s2,3.2098236012242114,73.95950531959534
c3 -> s3,3.102514735985032,73.95973777770996
c1 -> s1,1.0481216140102543,10.226029872894287
c2 -> s2,2.111036752015956,10.226248979568481
c3 -> s3,3.164821935172571,10.226474285125732
c1 -> s1,4.05520925719092,31.457913637161255
c2 -> s2,2.119449108853434,31.45849108695984
c3 -> s3,3.168080829819183,31.45869779586792
c1 -> s1,3.2092830870566753,52.69475603103638
c2 -> s2,3.20663707411494,52.70996618270874
c3 -> s3,3.1045155467017373,52.71018433570862
c1 -> s1,3.2046459530883027,73.94294667243958
c2 -> s2,3.210764031885457,73.94317102432251
c3 -> s3,3.1029416765450377,73.94342374801636
c1 -> s1,1.0598869629471979,10.209239959716797
c2 -> s2,2.1257160085314153,10.209472179412842
c3 -> s3,3.1688492005902087,10.209672451019287
c1 -> s1,4.098211653407119,31.45287013053894
c2 -> s2,2.1113339211222066,31.453115224838257
c3 -> s3,3.1587857225349323,31.453311443328857
c1 -> s1,3.1091785222852892,52.6891667842865
c2 -> s2,3.2104928513756006,52.70088005065918
c3 -> s3,3.2088550233658664,52.70526480674744
c1 -> s1,3.2079277820894054,73.9371645450592
c2 -> s2,3.210059455179131,73.93739032745361
c3 -> s3,3.10292964409664,73.9375867843628
c1 -> s1,1.048431006023632,10.190933227539062
c2 -> s2,2.121090159725647,10.19118595123291
c3 -> s3,3.1672272847614336,10.19176959991455
c1 -> s1,4.063936947270604,31.41905450820923
c2 -> s2,2.1178739969810123,31.438042879104614
c3 -> s3,3.1911661922059475,31.438332080841064
c1 -> s1,3.2104945514406826,52.67086124420166
c2 -> s2,3.2030500430931292,52.68254828453064
c3 -> s3,3.1056476302808775,52.682764530181885
c1 -> s1,3.2050806978335142,73.9227294921875
c2 -> s2,3.2049601095010725,73.9229793548584
c3 -> s3,3.1049840865715956,73.92316794395447
c1 -> s1,1.0493785442051595,10.220155477523804
c2 -> s2,2.1198427949384664,10.224000215530396
c3 -> s3,3.1910724644719703,10.22419548034668
c1 -> s1,4.112631638406393,31.4558744430542
c2 -> s2,2.0863042743202653,31.456090450286865
c3 -> s3,3.162372575044748,31.457883596420288
c1 -> s1,3.1047467124024286,52.68833351135254
c2 -> s2,3.210597136848724,52.700090169906616
c3 -> s3,3.2095239666917252,52.700292110443115
c1 -> s1,3.210347058790188,73.93633699417114
c2 -> s2,3.206793247506571,73.93659973144531
c3 -> s3,3.103277697214177,73.93683934211731
c1 -> s1,1.0556602020382708,10.213454961776733
c2 -> s2,2.128802426452825,10.21368670463562
c3 -> s3,3.164987386646984,10.213925838470459
c1 -> s1,4.093670198747153,31.45819616317749
c2 -> s2,2.115512026501512,31.45848298072815
c3 -> s3,3.147285392481978,31.458731412887573
c1 -> s1,3.206765977712087,52.721734046936035
c2 -> s2,3.208101683832106,52.72194051742554
c3 -> s3,3.10834238038316,52.72212243080139
c1 -> s1,3.2085903951522226,73.96190881729126
c2 -> s2,3.1050035349587084,73.96215009689331
c3 -> s3,3.2120954106724473,73.96240139007568
c1 -> s1,1.0542058255961373,10.189979791641235
c2 -> s2,2.1337823718017015,10.190241813659668
c3 -> s3,3.1787685311563187,10.190438032150269
c1 -> s1,4.116051058550455,31.417879819869995
c2 -> s2,2.1247578414798203,31.41815423965454
c3 -> s3,3.1880289744567287,31.43330216407776
c1 -> s1,3.1029953609133085,52.666539430618286
c2 -> s2,3.2084366021812563,52.673746824264526
c3 -> s3,3.210080520953127,52.67398953437805
c1 -> s1,3.208616328740654,73.93328976631165
c2 -> s2,3.106858131596584,73.9335024356842
c3 -> s3,3.2079119245926955,73.93373537063599
c1 -> s1,1.0476802121525268,10.222052335739136
c2 -> s2,2.1141876932378163,10.222275257110596
c3 -> s3,3.153422318339703,10.222500801086426
c1 -> s1,4.132549902021414,31.458003759384155
c2 -> s2,2.0931482586452193,31.45821213722229
c3 -> s3,3.158329375063327,31.4584002494812
c1 -> s1,3.2084184536728024,52.705981731414795
c2 -> s2,3.1055905262375503,52.706215143203735
c3 -> s3,3.2061145637185953,52.70642423629761
c1 -> s1,3.114397096383923,73.94242405891418
c2 -> s2,3.2237781309640576,73.94269466400146
c3 -> s3,3.172162740516102,73.9428915977478
c1 -> s1,1.0419328392333913,10.220231771469116
c2 -> s2,2.1376897338669476,10.220585346221924
c3 -> s3,3.209959778277881,10.220884799957275
c1 -> s1,4.082121314746506,31.438160181045532
c2 -> s2,2.1263138562569703,31.44173002243042
c3 -> s3,3.1946680398766816,31.441946506500244
c1 -> s1,3.099195309723467,52.67405390739441
c2 -> s2,3.2039288793022056,52.67562818527222
c3 -> s3,3.2085102830599332,52.67588973045349
c1 -> s1,3.205305343075041,73.90305233001709
c2 -> s2,3.209927002480379,73.90330982208252
c3 -> s3,3.1028321538533583,73.90349769592285
c1 -> s1,1.0530548391053816,10.187764167785645
c2 -> s2,2.1107316875004485,10.187981843948364
c3 -> s3,3.171214336155354,10.227866649627686
c1 -> s1,4.090222979376218,31.45194721221924
c2 -> s2,2.119964520321147,31.45218586921692
c3 -> s3,3.190904332458636,31.467900276184082
c1 -> s1,3.210144039127144,52.69962167739868
c2 -> s2,3.103062931810324,52.70066213607788
c3 -> s3,3.206357341217817,52.70766758918762
c1 -> s1,3.1748638683621286,73.93810534477234
