flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,1.0272012152432868,1.0274059413196992,1.026629810725238
c1 -> s1,2,1.0290444505220575,1.0345997068110035,1.0207946849342513
c1 -> s1,3,0.9672221369000399,0.9828073872111944,0.9550170157689714
c1 -> s1,4,0.9681241860546999,0.988489103904544,0.9582448010191756
c1 -> s1,5,0.9665829858197463,0.9769337974167676,0.95731085689832
c1 -> s1,6,0.9675034169173721,0.980987343769949,0.9503899696847892
c1 -> s1,7,0.9660704883852569,0.9792361217939624,0.9573309691598024
c1 -> s1,8,0.971581597586832,0.9873068704120304,0.9594677410812664
c1 -> s1,9,0.9701943727044469,0.978078826930535,0.958469015077239
c1 -> s1,10,0.9688096783498045,0.986171836284435,0.949241214948209
c2 -> s2,1,1.0271787500919518,1.0273072242197372,1.0268860739739267
c2 -> s2,2,2.0669731791433414,2.071979407819435,2.027862567650674
c2 -> s2,3,2.1840780661361863,2.230254600256966,2.175790273916238
c2 -> s2,4,1.986113044463869,1.991815320104657,1.975022819856455
c2 -> s2,5,1.9684229233946795,1.975761431744083,1.9608048133552347
c2 -> s2,6,1.9709637145712064,1.982668560564952,1.963092291574441
c2 -> s2,7,1.9738646347342599,1.9792588556704789,1.9654243426368485
c2 -> s2,8,1.9689178777957568,1.9769217136063757,1.9642212479440573
c2 -> s2,9,1.972343188892978,1.9780621113510244,1.968838528040426
c2 -> s2,10,1.9692086141484164,1.974617476390139,1.958492133972927
c3 -> s3,1,1.02726665375616,1.0273893677974928,1.0268953746070726
c3 -> s3,2,2.0712473107289298,2.071580166637938,2.0705410045354515
c3 -> s3,3,3.010924977263057,3.011522963320292,3.0098033926996384
c3 -> s3,4,4.031161216517214,4.032202484092098,4.029756955008953
c3 -> s3,5,4.994281742405169,4.994723939538133,4.992640045798544
c3 -> s3,6,5.999179859728804,6.002343068121625,5.996752914029828
c3 -> s3,7,6.9783858441260636,6.97892374270357,6.977893308713814
c3 -> s3,8,7.9759562249738405,7.978123231170096,7.97268705482026
c3 -> s3,9,8.96172286437265,8.962510325731525,8.958599641533967
c3 -> s3,10,9.51690873039055,9.523606893314334,9.50232102483214
